size_bytes,user_rating,user_rating_mark
77151232,3.5,medium
24799232,1.5,low
14583808,4.0,medium
80974848,4.5,high
7122944,4.5,high
92058431,0.0,low
4278742,4.5,high
110701568,4.5,high
1196212224,4.5,high
54648832,2.5,low
220948480,4.5,high
3393536,0.0,low
53539840,4.5,high
82037760,3.0,low
105972736,2.0,low
281676680,4.0,medium
283567104,4.0,medium
25895936,5.0,high
321802240,3.5,medium
185708544,0.0,low
27278336,1.0,low
11767808,2.0,low
9646080,4.0,medium
45322240,5.0,high
107298816,3.5,medium
173502464,4.0,medium
91238400,4.5,high
123640832,4.5,high
8467456,0.0,low
986284032,3.5,medium
7177216,1.0,low
3132416,5.0,high
123286528,4.5,high
62780416,0.0,low
119186432,0.0,low
31544320,3.5,medium
351164416,4.0,medium
69076992,5.0,high
31505408,4.0,medium
130396160,2.0,low
33946624,4.0,medium
25960448,4.0,medium
233041920,4.0,medium
30931968,4.5,high
191455232,4.5,high
171962368,3.5,medium
199417856,4.5,high
23792640,3.0,low
65575936,4.5,high
1254215680,3.0,low
81287168,4.0,medium
64545792,0.0,low
85580800,2.0,low
9906176,4.5,high
775233536,4.5,high
10231808,4.0,medium
40060928,0.0,low
130563072,5.0,high
2671616,4.0,medium
89542656,4.5,high
177696768,3.5,medium
210842624,4.5,high
185572352,4.5,high
102995968,4.0,medium
140779520,4.0,medium
2170589184,0.0,low
74799104,4.0,medium
118128640,4.0,medium
72299520,3.0,low
334434304,0.0,low
1671360512,4.0,medium
129855488,4.0,medium
13418496,4.5,high
528184320,4.5,high
4177920,4.5,high
174737408,4.5,high
272736256,4.0,medium
103951360,3.0,low
141017088,5.0,high
87511040,4.5,high
151161856,4.5,high
53571584,0.0,low
172889088,4.0,medium
209277952,0.0,low
62405632,5.0,high
2405958656,4.0,medium
1551412224,4.0,medium
54715392,0.0,low
660983808,4.0,medium
373496832,4.0,medium
61737984,0.0,low
282289152,2.5,low
38784000,0.0,low
129395712,2.5,low
17010688,3.5,medium
74822656,4.5,high
231426048,0.0,low
108698624,4.5,high
100048896,4.5,high
43658240,4.5,high
57921536,4.5,high
196291794,4.0,medium
142116864,5.0,high
127227904,4.5,high
99568640,2.0,low
189151232,4.5,high
79857664,4.5,high
47495168,4.0,medium
111119360,4.5,high
511918080,0.0,low
54710272,4.0,medium
315658240,4.5,high
37910528,4.0,medium
31624192,0.0,low
249625600,4.0,medium
131635200,4.5,high
482223104,4.5,high
289495040,4.0,medium
108771328,4.5,high
173768704,0.0,low
5415000,4.5,high
251606016,3.0,low
72076288,4.0,medium
195235840,4.5,high
46157824,0.0,low
101354496,3.5,medium
75792384,4.5,high
323506176,0.0,low
54643712,4.5,high
22635520,4.5,high
60937216,4.5,high
73467904,0.0,low
5177344,0.0,low
33232896,0.0,low
197273600,4.0,medium
118087680,4.5,high
255400960,4.5,high
22577152,4.5,high
182054912,4.0,medium
55532544,5.0,high
36758528,4.5,high
179526656,4.5,high
48844800,0.0,low
45785088,0.0,low
466280448,5.0,high
189870080,4.5,high
111042560,4.0,medium
40559616,4.5,high
56814592,4.5,high
58882048,4.5,high
37828608,3.0,low
566353920,5.0,high
96394240,4.5,high
202745856,4.0,medium
38444032,4.0,medium
424826880,4.0,medium
79882240,4.0,medium
55037952,3.5,medium
343991296,2.5,low
59475968,4.0,medium
221522944,4.5,high
3174400,0.0,low
